date,open,high,low,close,volume
2025-06-11,109446.74,109675.69,109446.73,109576.02,413.74462
2025-06-11,109576.03,109603.57,109233.62,109269.83,579.74506
2025-06-11,109269.82,109468.67,109200.0,109373.12,390.96093
2025-06-11,109373.13,109391.75,109193.89,109252.09,249.30459
2025-06-11,109252.1,109927.04,109008.82,109714.87,1297.31517
2025-06-11,109714.87,109900.0,109301.42,109684.0,948.34709
2025-06-11,109684.0,110392.01,109650.94,109866.69,1345.14543
2025-06-11,109866.69,110042.9,109660.72,109735.7,808.45996
2025-06-12,109735.7,109815.84,109341.79,109439.38,689.45368
2025-06-12,109439.38,109768.85,108964.16,108984.72,724.99224
2025-06-12,108984.72,109072.91,108412.01,108807.25,963.32708
2025-06-12,108807.25,108960.0,108576.0,108742.37,459.75917
2025-06-12,108742.37,109001.5,108480.0,108906.44,360.27215
2025-06-12,108906.45,109219.51,108367.94,108508.18,462.92455
2025-06-12,108508.17,108633.38,108064.0,108443.38,692.16947
2025-06-12,108443.38,108691.87,108324.0,108645.12,335.90773
2025-06-12,108645.13,108813.55,108326.55,108705.99,394.62489
2025-06-12,108706.0,108706.0,108258.49,108515.99,531.45564
2025-06-12,108515.99,108759.0,108390.34,108400.52,897.03762
2025-06-12,108400.52,108448.03,107730.0,107860.05,1933.71635
2025-06-12,107860.04,107917.41,107320.0,107765.12,841.46439
2025-06-12,107765.13,107922.43,107593.67,107746.91,355.94523
2025-06-12,107746.91,107993.58,107640.33,107909.02,438.0718
2025-06-12,107909.02,107961.01,107438.65,107633.53,702.19948
2025-06-12,107633.53,107835.83,107440.13,107731.67,406.91931
2025-06-12,107731.67,107771.55,107488.95,107507.35,309.4496
2025-06-12,107507.35,107518.85,107200.0,107323.16,521.81989
2025-06-12,107323.16,107349.31,106874.47,106900.95,628.23956
2025-06-12,106900.95,107431.82,106870.0,106988.54,763.31238
2025-06-12,106988.55,107198.75,106600.0,107070.8,920.69916
2025-06-12,107070.8,107721.17,107070.8,107612.69,862.27021
2025-06-12,107612.7,107822.5,106890.88,107020.95,655.00365
2025-06-13,107020.96,107858.32,106985.38,107744.71,562.58066
2025-06-13,107744.7,108450.16,107702.42,108287.4,769.24972
2025-06-13,108287.4,108419.21,107229.47,107561.35,522.24144
2025-06-13,107561.36,107879.92,106680.0,106788.8,704.93602
2025-06-13,106789.8,106960.77,105772.73,105973.62,2315.98411
2025-06-13,105973.61,106430.39,105860.9,105894.31,679.88503
2025-06-13,105894.32,106225.4,105726.65,105890.7,576.44703
2025-06-13,105890.69,106140.0,105671.72,105671.73,485.11901
2025-06-13,105671.74,105694.0,103213.87,103797.81,5330.14891
2025-06-13,103797.81,103938.59,102664.31,103773.65,3550.75225
2025-06-13,103773.65,103976.64,103065.58,103641.21,1362.18578
2025-06-13,103641.2,104590.0,103605.12,104277.22,1292.28749
2025-06-13,104277.22,104506.36,103782.75,104404.52,700.3376
2025-06-13,104404.52,104450.0,104000.0,104002.25,650.15589
2025-06-13,104002.26,104722.5,103825.11,104704.26,812.26154
2025-06-13,104704.27,104970.12,104376.43,104895.0,1192.2614
2025-06-13,104895.01,105434.34,104690.85,104739.45,1404.55532
2025-06-13,104739.44,104916.0,104500.0,104830.36,688.51868
2025-06-13,104830.36,104925.1,104425.79,104874.01,531.07719
2025-06-13,104874.0,105045.79,104640.0,105039.48,522.51084
2025-06-13,105039.48,105290.14,104822.36,104852.29,768.82163
2025-06-13,104852.28,105300.0,104674.14,104732.44,853.87525
2025-06-13,104732.82,105011.76,104118.0,104970.74,1137.70532
2025-06-13,104970.74,105747.47,104860.0,105436.87,1140.75299
2025-06-14,105436.87,105981.0,105308.83,105783.66,1087.38893
2025-06-14,105783.65,105783.65,104867.65,105390.94,775.10222
2025-06-14,105390.94,105480.0,104668.73,105193.04,631.03278
2025-06-14,105193.04,105436.9,104900.0,105110.0,457.01476
2025-06-14,105110.01,105508.34,105020.87,105424.0,385.01118
